id_registro,timestamp,id_equipamento,regiao,umidade_solo_pct,inclinacao_lateral_graus,precipitacao_3h_mm,dist_corpo_agua_m,velocidade_kmh,temperatura_c,horas_operacao_dia,score_risco,nivel_risco,alerta_ativo
73,2025-04-02 00:45:00,EQ-009,Arroz-RS,65.2,5.7,11.1,406,17.4,35.1,6.8,47,MEDIO,0
74,2025-04-02 01:30:00,EQ-015,Soja-PR,56.1,3.7,2.1,491,27.3,40.0,11.3,27,BAIXO,0
75,2025-04-02 02:15:00,EQ-013,Cana-SP,19.0,21.6,3.2,559,20.9,29.7,8.8,28,BAIXO,0
76,2025-04-02 03:00:00,EQ-001,Cana-SP,42.1,14.1,0.3,151,21.3,28.8,10.6,37,MEDIO,0
77,2025-04-02 03:45:00,EQ-007,Arroz-RS,10.0,9.6,21.6,16,21.4,24.7,8.7,55,ALTO,1
78,2025-04-02 04:30:00,EQ-009,Arroz-RS,60.9,10.0,44.1,154,14.7,25.7,11.4,61,ALTO,1
79,2025-04-02 05:15:00,EQ-001,Milho-GO,60.7,5.0,1.7,336,15.2,31.8,6.7,27,BAIXO,0
80,2025-04-02 06:00:00,EQ-012,Milho-GO,39.1,20.3,3.2,180,22.6,26.1,8.5,48,MEDIO,0
81,2025-04-02 06:45:00,EQ-008,Soja-PR,65.8,9.5,24.3,415,18.8,27.0,11.4,58,ALTO,1
82,2025-04-02 07:30:00,EQ-011,Soja-PR,29.4,10.4,31.3,132,10.9,27.8,4.2,52,MEDIO,0
83,2025-04-02 08:15:00,EQ-019,Cerrado-MT,35.7,15.8,6.5,302,29.2,24.5,8.9,40,MEDIO,0
84,2025-04-02 09:00:00,EQ-017,Milho-GO,63.3,2.6,0.6,62,23.9,27.6,8.2,38,MEDIO,0
85,2025-04-02 09:45:00,EQ-008,Cana-SP,41.2,13.2,0.5,415,18.2,15.9,10.4,24,BAIXO,0
86,2025-04-02 10:30:00,EQ-003,Milho-GO,53.7,1.7,10.2,237,16.4,31.3,11.1,36,MEDIO,0
87,2025-04-02 11:15:00,EQ-003,Cana-SP,43.7,3.4,6.0,68,19.2,42.0,10.5,33,BAIXO,0
88,2025-04-02 12:00:00,EQ-001,Arroz-RS,46.8,3.3,0.3,104,21.1,24.7,9.5,37,MEDIO,0
89,2025-04-02 12:45:00,EQ-005,Milho-GO,47.7,30.7,10.5,414,5.8,30.2,9.1,54,MEDIO,0
90,2025-04-02 13:30:00,EQ-010,Arroz-RS,40.9,15.5,0.1,198,30.7,33.1,8.3,45,MEDIO,0
91,2025-04-02 14:15:00,EQ-007,Soja-PR,61.0,9.7,18.6,73,13.3,35.7,9.4,47,MEDIO,0
92,2025-04-02 15:00:00,EQ-009,Soja-PR,42.4,10.4,4.4,1026,18.0,26.4,11.9,19,BAIXO,0
93,2025-04-02 15:45:00,EQ-007,Cerrado-MT,55.3,6.6,0.5,377,18.2,17.2,7.3,25,BAIXO,0
94,2025-04-02 16:30:00,EQ-009,Milho-GO,40.4,23.5,10.7,945,30.0,29.6,8.2,38,MEDIO,0
95,2025-04-02 17:15:00,EQ-008,Arroz-RS,24.3,5.5,6.1,167,17.5,28.8,8.8,27,BAIXO,0
96,2025-04-02 18:00:00,EQ-012,Cana-SP,73.2,3.8,43.7,193,27.5,25.9,11.0,62,ALTO,1
97,2025-04-02 18:45:00,EQ-002,Soja-PR,65.0,1.4,9.4,685,20.4,27.2,9.4,30,BAIXO,0
98,2025-04-02 19:30:00,EQ-001,Soja-PR,100.0,12.3,3.9,223,12.2,28.9,11.0,49,MEDIO,0
99,2025-04-02 20:15:00,EQ-016,Cana-SP,34.1,10.6,14.8,369,18.8,30.2,11.1,35,MEDIO,0
100,2025-04-02 21:00:00,EQ-005,Arroz-RS,50.8,3.9,3.8,87,17.3,29.9,10.2,32,BAIXO,0
101,2025-04-02 21:45:00,EQ-003,Arroz-RS,52.4,0.2,28.2,178,11.5,26.7,6.9,51,MEDIO,0
102,2025-04-02 22:30:00,EQ-012,Milho-GO,74.8,14.6,5.6,40,20.1,30.3,12.3,55,ALTO,1
103,2025-04-02 23:15:00,EQ-008,Milho-GO,44.9,0.1,9.6,69,18.1,26.3,11.8,32,BAIXO,0
104,2025-04-03 00:00:00,EQ-003,Cerrado-MT,31.6,9.7,0.6,10,21.3,31.9,9.1,41,MEDIO,0
105,2025-04-03 00:45:00,EQ-001,Soja-PR,79.2,28.1,6.7,12,19.2,24.2,6.2,76,CRITICO,1
106,2025-04-03 01:30:00,EQ-003,Milho-GO,48.7,4.6,21.4,1135,14.1,28.4,5.9,34,BAIXO,0
107,2025-04-03 02:15:00,EQ-005,Arroz-RS,72.6,2.1,19.7,83,22.6,18.3,9.5,56,ALTO,1
108,2025-04-03 03:00:00,EQ-015,Cana-SP,70.2,9.8,3.0,327,14.3,25.8,7.6,35,MEDIO,0
109,2025-04-03 03:45:00,EQ-014,Arroz-RS,54.4,13.6,3.1,548,0.0,31.4,5.6,23,BAIXO,0
110,2025-04-03 04:30:00,EQ-003,Soja-PR,51.5,6.3,20.4,240,18.8,21.8,5.8,45,MEDIO,0
111,2025-04-03 05:15:00,EQ-001,Arroz-RS,47.2,27.3,32.0,50,14.7,26.1,8.1,82,CRITICO,1
112,2025-04-03 06:00:00,EQ-005,Cerrado-MT,54.7,0.4,1.2,391,20.3,13.6,9.4,25,BAIXO,0
113,2025-04-03 06:45:00,EQ-014,Soja-PR,72.3,5.6,7.2,275,30.0,19.8,11.8,36,MEDIO,0
114,2025-04-03 07:30:00,EQ-007,Cana-SP,39.1,10.1,4.9,394,30.2,21.4,10.0,30,BAIXO,0
115,2025-04-03 08:15:00,EQ-009,Cerrado-MT,57.2,15.9,24.5,441,17.0,28.6,8.2,55,ALTO,1
116,2025-04-03 09:00:00,EQ-015,Soja-PR,32.6,1.6,1.0,1112,13.0,30.0,9.8,16,BAIXO,0
117,2025-04-03 09:45:00,EQ-015,Cana-SP,35.1,12.9,2.8,256,21.5,27.7,9.6,28,BAIXO,0
118,2025-04-03 10:30:00,EQ-010,Cerrado-MT,54.4,6.4,16.8,125,15.8,25.7,10.5,37,MEDIO,0
119,2025-04-03 11:15:00,EQ-013,Cerrado-MT,15.8,4.0,0.6,314,20.4,25.7,8.9,20,BAIXO,0
120,2025-04-03 12:00:00,EQ-019,Soja-PR,96.2,1.1,8.1,21,14.0,32.3,11.1,64,ALTO,1
121,2025-04-03 12:45:00,EQ-007,Milho-GO,31.1,16.0,7.0,683,19.5,29.3,10.6,30,BAIXO,0
122,2025-04-03 13:30:00,EQ-017,Cerrado-MT,54.2,1.4,4.9,38,13.1,26.0,9.2,37,MEDIO,0
123,2025-04-03 14:15:00,EQ-020,Cerrado-MT,78.4,3.0,6.0,119,25.1,35.8,8.8,46,MEDIO,0
124,2025-04-03 15:00:00,EQ-004,Cana-SP,37.7,2.7,9.1,507,14.5,39.7,10.8,22,BAIXO,0
125,2025-04-03 15:45:00,EQ-005,Arroz-RS,10.0,16.4,2.1,273,22.0,20.5,7.6,32,BAIXO,0
126,2025-04-03 16:30:00,EQ-007,Soja-PR,46.1,8.9,10.2,150,10.4,31.1,6.0,53,MEDIO,0
127,2025-04-03 17:15:00,EQ-013,Soja-PR,37.5,12.7,19.6,192,22.7,42.0,6.0,40,MEDIO,0
128,2025-04-03 18:00:00,EQ-015,Milho-GO,10.0,2.3,17.1,578,12.2,29.7,7.4,21,BAIXO,0
129,2025-04-03 18:45:00,EQ-011,Milho-GO,60.7,7.8,2.0,125,19.6,28.7,10.3,37,MEDIO,0
130,2025-04-03 19:30:00,EQ-004,Soja-PR,59.1,6.8,1.9,611,24.1,27.7,8.2,27,BAIXO,0
131,2025-04-03 20:15:00,EQ-013,Milho-GO,77.8,14.3,3.7,28,16.8,30.9,9.4,59,ALTO,1
132,2025-04-03 21:00:00,EQ-007,Cana-SP,32.6,18.9,5.4,450,11.8,32.5,8.0,38,MEDIO,0
133,2025-04-03 21:45:00,EQ-019,Soja-PR,23.0,0.1,6.3,564,21.0,20.5,8.0,12,BAIXO,0
134,2025-04-03 22:30:00,EQ-002,Milho-GO,46.9,9.0,13.7,60,13.0,27.8,6.9,48,MEDIO,0
135,2025-04-03 23:15:00,EQ-010,Soja-PR,53.2,0.4,0.7,169,15.6,14.4,8.8,34,BAIXO,0
136,2025-04-04 00:00:00,EQ-013,Arroz-RS,73.4,6.4,0.4,54,19.6,26.7,8.6,46,MEDIO,0
137,2025-04-04 00:45:00,EQ-006,Cerrado-MT,83.2,2.7,6.0,368,26.2,22.6,9.8,45,MEDIO,0
138,2025-04-04 01:30:00,EQ-012,Soja-PR,79.3,2.9,14.3,230,18.2,30.0,9.6,46,MEDIO,0
139,2025-04-04 02:15:00,EQ-012,Cerrado-MT,60.5,3.5,2.6,303,18.1,18.1,8.6,21,BAIXO,0
140,2025-04-04 03:00:00,EQ-020,Milho-GO,71.0,7.8,12.3,66,22.4,24.9,6.0,48,MEDIO,0
141,2025-04-04 03:45:00,EQ-011,Cerrado-MT,42.2,3.3,3.6,71,18.3,33.8,11.1,33,BAIXO,0
142,2025-04-04 04:30:00,EQ-007,Soja-PR,58.4,10.6,26.1,13,21.8,23.9,8.8,58,ALTO,1
143,2025-04-04 05:15:00,EQ-001,Arroz-RS,31.2,4.1,27.1,117,24.5,16.6,9.2,46,MEDIO,0
144,2025-04-04 06:00:00,EQ-001,Milho-GO,56.3,0.6,4.2,246,16.0,29.5,12.2,31,BAIXO,0
145,2025-04-04 06:45:00,EQ-020,Soja-PR,56.8,12.3,3.1,585,0.0,24.5,10.8,27,BAIXO,0
146,2025-04-04 07:30:00,EQ-013,Milho-GO,89.4,2.7,6.4,330,13.1,26.9,9.9,38,MEDIO,0
147,2025-04-04 08:15:00,EQ-009,Cana-SP,50.4,4.5,3.3,171,25.3,23.6,9.0,35,MEDIO,0
148,2025-04-04 09:00:00,EQ-003,Cerrado-MT,56.8,9.3,13.4,918,17.8,39.8,9.0,38,MEDIO,0
149,2025-04-04 09:45:00,EQ-007,Cana-SP,59.7,3.2,21.0,381,16.0,18.7,9.5,46,MEDIO,0
150,2025-04-04 10:30:00,EQ-006,Soja-PR,45.9,0.5,13.4,798,25.0,42.0,9.8,28,BAIXO,0
151,2025-04-04 11:15:00,EQ-008,Arroz-RS,39.0,3.7,20.9,225,17.4,25.7,12.4,33,BAIXO,0
152,2025-04-04 12:00:00,EQ-009,Milho-GO,81.0,23.1,6.1,90,5.4,29.1,13.9,70,ALTO,1
153,2025-04-04 12:45:00,EQ-005,Cerrado-MT,35.4,8.2,2.0,16,9.0,24.6,9.6,45,MEDIO,0
154,2025-04-04 13:30:00,EQ-001,Milho-GO,28.4,8.9,16.1,388,20.5,24.3,4.7,31,BAIXO,0
155,2025-04-04 14:15:00,EQ-019,Soja-PR,68.6,8.0,5.4,39,17.6,23.3,7.1,58,ALTO,1
156,2025-04-04 15:00:00,EQ-010,Milho-GO,78.2,1.8,13.4,108,26.7,31.6,12.6,50,MEDIO,0
157,2025-04-04 15:45:00,EQ-012,Cerrado-MT,46.0,4.3,3.8,228,13.6,19.5,10.4,26,BAIXO,0
158,2025-04-04 16:30:00,EQ-015,Soja-PR,46.3,11.1,1.0,249,16.1,30.2,9.9,35,MEDIO,0
159,2025-04-04 17:15:00,EQ-009,Milho-GO,60.7,0.9,58.8,275,12.7,14.9,8.7,52,MEDIO,0
160,2025-04-04 18:00:00,EQ-020,Arroz-RS,40.8,2.6,2.0,55,14.9,29.6,6.6,29,BAIXO,0
161,2025-04-04 18:45:00,EQ-017,Soja-PR,39.4,2.6,53.5,143,6.6,33.1,12.4,54,MEDIO,0
162,2025-04-04 19:30:00,EQ-017,Soja-PR,72.6,4.5,45.4,288,15.7,20.4,7.4,51,MEDIO,0
163,2025-04-04 20:15:00,EQ-020,Arroz-RS,67.1,31.4,18.9,1050,17.7,32.1,10.5,63,ALTO,1
164,2025-04-04 21:00:00,EQ-012,Cana-SP,81.2,0.6,12.9,390,17.2,28.3,6.4,49,MEDIO,0
165,2025-04-04 21:45:00,EQ-007,Cerrado-MT,29.9,5.9,10.3,768,30.9,37.6,8.6,25,BAIXO,0
166,2025-04-04 22:30:00,EQ-002,Cana-SP,45.0,1.6,24.1,431,29.0,22.9,11.0,36,MEDIO,0
167,2025-04-04 23:15:00,EQ-003,Milho-GO,60.6,28.2,4.1,269,13.5,42.0,8.5,46,MEDIO,0
168,2025-04-05 00:00:00,EQ-017,Arroz-RS,36.5,1.0,7.6,64,5.7,13.7,8.3,29,BAIXO,0
169,2025-04-05 00:45:00,EQ-005,Cana-SP,67.8,4.1,11.6,330,17.4,26.0,9.0,36,MEDIO,0
170,2025-04-05 01:30:00,EQ-017,Soja-PR,79.5,10.7,6.4,293,20.3,17.8,6.3,44,MEDIO,0
171,2025-04-05 02:15:00,EQ-017,Milho-GO,43.3,9.8,6.7,277,12.8,39.1,6.0,28,BAIXO,0
172,2025-04-05 03:00:00,EQ-017,Milho-GO,55.8,4.4,4.8,202,13.1,26.4,10.4,27,BAIXO,0
173,2025-04-05 03:45:00,EQ-002,Cana-SP,84.1,3.4,10.0,226,27.5,27.0,8.2,51,MEDIO,0
174,2025-04-05 04:30:00,EQ-002,Cana-SP,91.0,4.1,22.8,122,16.5,30.7,10.4,65,ALTO,1
175,2025-04-05 05:15:00,EQ-005,Arroz-RS,69.9,2.5,2.7,220,22.0,28.0,11.2,37,MEDIO,0
176,2025-04-05 06:00:00,EQ-001,Cerrado-MT,66.9,1.8,32.7,66,12.4,24.4,11.4,60,ALTO,1
177,2025-04-05 06:45:00,EQ-001,Cana-SP,37.9,5.3,14.0,491,17.7,20.5,5.8,26,BAIXO,0
178,2025-04-05 07:30:00,EQ-019,Cana-SP,62.2,2.5,20.8,62,16.0,29.0,7.6,47,MEDIO,0
179,2025-04-05 08:15:00,EQ-002,Soja-PR,66.1,2.7,9.7,27,13.9,30.3,10.1,51,MEDIO,0
180,2025-04-05 09:00:00,EQ-012,Milho-GO,50.8,8.6,18.1,172,24.9,32.2,10.1,48,MEDIO,0
181,2025-04-05 09:45:00,EQ-006,Cerrado-MT,43.1,27.7,0.2,322,9.7,39.5,13.5,44,MEDIO,0
182,2025-04-05 10:30:00,EQ-004,Soja-PR,29.4,7.4,20.5,173,19.8,15.0,7.2,40,MEDIO,0
183,2025-04-05 11:15:00,EQ-011,Arroz-RS,20.2,0.6,0.5,97,15.9,27.6,11.3,34,BAIXO,0
184,2025-04-05 12:00:00,EQ-017,Arroz-RS,16.0,0.6,26.5,245,20.5,35.2,9.7,33,BAIXO,0
185,2025-04-05 12:45:00,EQ-006,Cana-SP,66.6,24.2,57.9,128,16.0,27.3,5.7,72,ALTO,1
186,2025-04-05 13:30:00,EQ-005,Cana-SP,58.0,2.8,4.2,810,23.2,14.0,7.9,26,BAIXO,0
187,2025-04-05 14:15:00,EQ-020,Arroz-RS,45.3,0.8,2.8,768,12.4,20.3,9.5,16,BAIXO,0
188,2025-04-05 15:00:00,EQ-002,Cana-SP,48.4,7.3,17.4,209,24.9,30.0,5.6,36,MEDIO,0
189,2025-04-05 15:45:00,EQ-006,Cerrado-MT,59.2,7.8,3.5,119,17.8,29.8,4.9,38,MEDIO,0
190,2025-04-05 16:30:00,EQ-011,Cana-SP,51.7,8.4,24.1,401,10.0,32.0,5.5,48,MEDIO,0
191,2025-04-05 17:15:00,EQ-016,Milho-GO,28.2,2.5,1.3,11,22.1,23.3,9.5,35,MEDIO,0
192,2025-04-05 18:00:00,EQ-016,Cana-SP,73.3,0.1,1.6,193,16.8,29.6,8.0,45,MEDIO,0
193,2025-04-05 18:45:00,EQ-001,Soja-PR,61.1,26.8,46.4,123,7.8,22.3,7.8,81,CRITICO,1
194,2025-04-05 19:30:00,EQ-009,Cerrado-MT,60.3,2.3,13.4,760,20.0,29.6,7.8,25,BAIXO,0
195,2025-04-05 20:15:00,EQ-006,Soja-PR,71.8,9.0,22.5,10,24.0,28.3,6.2,73,ALTO,1
196,2025-04-05 21:00:00,EQ-016,Soja-PR,38.7,9.8,4.7,241,25.7,23.1,8.1,30,BAIXO,0
197,2025-04-05 21:45:00,EQ-003,Milho-GO,79.3,7.5,13.5,405,15.7,37.3,5.4,42,MEDIO,0
198,2025-04-05 22:30:00,EQ-020,Cerrado-MT,52.2,3.0,10.8,199,18.9,17.8,11.4,40,MEDIO,0
199,2025-04-05 23:15:00,EQ-004,Cerrado-MT,72.8,2.5,11.1,27,18.3,27.2,12.4,59,ALTO,1
200,2025-04-06 00:00:00,EQ-019,Cerrado-MT,69.7,7.3,13.8,1078,26.9,22.9,4.3,37,MEDIO,0
201,2025-04-06 00:45:00,EQ-003,Cerrado-MT,34.2,16.1,10.3,219,13.1,39.0,8.1,38,MEDIO,0
202,2025-04-06 01:30:00,EQ-019,Cerrado-MT,65.1,23.5,6.7,286,15.2,31.6,8.2,48,MEDIO,0
203,2025-04-06 02:15:00,EQ-020,Milho-GO,61.5,0.9,3.9,81,13.0,24.1,8.7,38,MEDIO,0
204,2025-04-06 03:00:00,EQ-007,Cana-SP,55.6,1.3,17.6,198,9.3,26.3,11.0,42,MEDIO,0
205,2025-04-06 03:45:00,EQ-020,Soja-PR,53.1,23.2,3.1,168,19.5,39.2,8.1,53,MEDIO,0
206,2025-04-06 04:30:00,EQ-009,Cerrado-MT,53.3,10.7,14.1,23,27.6,22.3,8.8,53,MEDIO,0
207,2025-04-06 05:15:00,EQ-001,Cana-SP,71.3,17.2,3.2,34,16.8,17.4,14.0,62,ALTO,1
208,2025-04-06 06:00:00,EQ-008,Cana-SP,66.6,1.8,11.8,545,12.7,29.7,8.8,42,MEDIO,0
209,2025-04-06 06:45:00,EQ-007,Soja-PR,55.6,7.1,16.5,82,19.1,29.9,12.5,36,MEDIO,0
210,2025-04-06 07:30:00,EQ-018,Milho-GO,25.2,9.7,3.0,65,21.5,32.0,10.0,34,BAIXO,0
211,2025-04-06 08:15:00,EQ-008,Arroz-RS,64.9,9.1,0.7,211,17.1,32.0,7.9,34,BAIXO,0
212,2025-04-06 09:00:00,EQ-001,Arroz-RS,69.5,4.2,1.7,439,26.4,38.6,7.6,38,MEDIO,0
213,2025-04-06 09:45:00,EQ-011,Cana-SP,100.0,0.1,11.2,19,13.1,17.7,9.0,65,ALTO,1
